Accuracy     | F1_Obj       | F1_Bound     | F1_Gap%      | F1_Time      | F1_Status                      | F2_Obj       | F2_Bound     | F2_Gap%      | F2_Time      | F2_Status                      | F3_Obj       | F3_Bound     | F3_Gap%      | F3_Time      | F3_Status                      | F4_Obj       | F4_Bound     | F4_Gap%      | F4_Time      | F4_Status                      | F5_Obj       | F5_Bound     | F5_Gap%      | F5_Time      | F5_Status                     
12           | -1635.00     | -1635.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1635.00     | -1635.00     | 0.00         | 464          | HxSolutionStatus.OPTIMAL       | -1635.00     | -1635.00     | 0.00         | 2582         | HxSolutionStatus.OPTIMAL       | -1635.00     | -1635.00     | 0.00         | 3            | HxSolutionStatus.OPTIMAL       | -1635.00     | -1635.00     | 0.00         | 122          | HxSolutionStatus.OPTIMAL      
13           | -1449.00     | -1449.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1449.00     | -1449.00     | 0.00         | 33           | HxSolutionStatus.OPTIMAL       | -1449.00     | -1449.00     | 0.00         | 529          | HxSolutionStatus.OPTIMAL       | -1449.00     | -1449.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1449.00     | -1449.00     | 0.00         | 49           | HxSolutionStatus.OPTIMAL      
15           | -1254.00     | -1254.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1254.00     | -1254.00     | 0.00         | 20           | HxSolutionStatus.OPTIMAL       | -1254.00     | -1254.00     | 0.00         | 179          | HxSolutionStatus.OPTIMAL       | -1254.00     | -1254.00     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1254.00     | -1254.00     | 0.00         | 9            | HxSolutionStatus.OPTIMAL      
17           | -1060.50     | -1060.50     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1060.50     | -1060.50     | 0.00         | 2            | HxSolutionStatus.OPTIMAL       | -1060.50     | -1060.50     | 0.00         | 188          | HxSolutionStatus.OPTIMAL       | -1060.50     | -1060.50     | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -1060.50     | -1060.50     | 0.00         | 7            | HxSolutionStatus.OPTIMAL      
20           | -868.00      | -868.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -868.00      | -868.00      | 0.00         | 1            | HxSolutionStatus.OPTIMAL       | -868.00      | -868.00      | 0.00         | 10           | HxSolutionStatus.OPTIMAL       | -868.00      | -868.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -868.00      | -868.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL      
24           | -659.00      | -659.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -659.00      | -659.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -659.00      | -659.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -659.00      | -659.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -659.00      | -659.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL      
30           | -451.00      | -451.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -451.00      | -451.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -451.00      | -451.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -451.00      | -451.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -451.00      | -451.04      | 0.01         | 0            | HxSolutionStatus.OPTIMAL      
40           | -145.00      | -145.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -145.00      | -145.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -145.00      | -145.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -145.00      | -145.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -145.00      | -145.00      | 0.00         | 0            | HxSolutionStatus.OPTIMAL      
60           | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | -86.00       | -86.00       | 0.00         | 0            | HxSolutionStatus.OPTIMAL      
120          | 0            | 0            | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | 0            | 0            | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | 0            | 0            | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | 0            | 0            | 0.00         | 0            | HxSolutionStatus.OPTIMAL       | 0            | 0            | 0.00         | 0            | HxSolutionStatus.OPTIMAL      
